"V1"	"V2"	"V3"	"V4"	"V5"	"V6"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Menace 25:7§"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Menace 25:7§"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Menace 25:7§"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Menace 25:7§"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Menace 25:7§"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Menace 25:7§"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Menace 25:7§"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Menace 25:7§"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Menace 25:7§"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Menace 25:7§"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect females"	"Menace 25:7§"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"5 - 9"	"Suspect males"	"Assault 21:5"
